id,mahalle,fiyat,brut,net,kat,bina_kat,banyo_sayi,isitma,oda_sayisi,site_ici,tarih,bina_yasi,balkon,asansor,cephe_K,cephe_B,cephe_D,cephe_G,deniz_man,nizam,longitude,latitude
1422,Aydinlikevler,430000,120,110,0,3,1,0,2,1,2021/09/07,9,0,1,0,0,1,1,1,0,34.587,36.782
1423,Aydinlikevler,738000,220,185,9,11,1,1,2,0,2021/09/06,8,0,0,1,0,0,0,0,0,34.587,36.782
1424,Aydinlikevler,350000,100,90,4,5,2,1,1,1,2021/09/19,4,0,0,0,0,1,1,1,0,34.587,36.781
1425,Aydinlikevler,500000,130,110,4,4,1,1,1,1,2021/09/23,0,0,0,0,0,1,1,1,0,34.587,36.781
1200,Guvenevler,1600000,260,250,8,14,2,1,3,0,2021/09/01,7,0,0,0,0,1,0,1,1,34.583,36.793
1201,Guvenevler,810000,200,180,5,8,1,0,2,1,2021/09/07,8,0,0,0,0,0,0,1,0,34.582,36.792
1202,guvenler,3150000,385,315,11,23,3,2,4,0,2021/03/05,5,0,0,,,,,1,0,34.585,36.792
1204,guvenevler,3300000,400,310,4,18,2,2,5,0,2021/09/27,5,0,0,0,0,1,0,1,0,34.586,36.794
1205,guvenevler,1150000,240,210,13,13,3,1,3,0,2021/09/29,5,0,0,0,1,0,0,1,0,34.587,36.794
1206,guvenevler,1950000,280,240,14,18,2,1,3,0,2021/08/21,5,0,0,0,0,1,0,0,0,34.586,36.792
1207,guvenevler,965000,250,185,2,12,2,1,3,1,2021/09/21,7,0,0,1,1,1,0,1,0,34.587,36.791
1208,guvenevler,2000000,250,180,4,23,2,2,4,1,2021/10/01,0,0,0,0,1,0,0,0,0,34.583,36.789
1209,guvenevler,950000,265,215,1,6,2,1,3,1,2021/09/18,7,0,0,1,0,0,0,1,0,34.583,36.789
1210,guvenevler,950000,260,200,1,6,2,1,3,0,2021/09/17,7,0,0,0,0,0,0,1,0,34.589,36.791
1211,guvenevler,169000,240,190,5,11,2,1,3,0,2021/10/01,5,0,0,0,1,0,0,1,0,34.590,36.792
1212,,1349000,245,200,10,14,3,1,3,0,2021/09/20,7,0,0,0,1,0,0,1,0,34.587,36.790
1213,guvenevler,1800000,250,200,1,15,2,2,4,0,2021/09/06,0,0,0,0,0,0,0,1,0,34.588,36.789
1214,guvenevler,1000000,260,230,1,6,2,1,3,0,2021/09/03,7,0,0,0,0,0,0,1,0,34.587,36.790
1215,guvenevler,570000,140,115,4,11,1,1,2,1,2021/09/09,9,0,0,1,0,0,0,1,0,34.588,36.790
